run_id,step,reward_mean,reward_last,schema_valid,contract_valid,quote_hit,clipped_ratio,truncated_ratio,avg_step_time_sec,anomaly_count,completion_rows
gemma4_12b_grpo_next06_g8_longlow_bestg8_20260618,90,0.8989749927073717,1.0,0.9472222222222222,0.9277777777777778,0.9888888888888889,0.019444444444444445,0.016666666666666666,137.41953858631106,0,1200
gemma4_12b_grpo_next04_g8_mid_bestg8_20260618,50,0.8905159077048301,1.0,0.9275,0.915,0.985,0.0225,0.01,138.1486620971,0,800
gemma4_12b_grpo_next11_g8_lowtemp_bestg8_20260618,50,0.8821412229537964,1.0,0.925,0.9025,0.9825,0.02,0.0125,139.97785404715805,0,800
gemma4_12b_grpo_next01_g8_cons_bestg8_20260618,50,0.87968087002635,1.0,0.915,0.9,0.985,0.025,0.0125,138.4901268459385,0,800
gemma4_12b_grpo_next10_g8_b005_bestg8_20260618,50,0.8769886416941881,1.0,0.9075,0.8975,0.9825,0.025,0.0175,141.72577724341988,0,800
gemma4_12b_grpo_next12_g8_norep_bestg8_20260618,50,0.8703759234026074,1.0,0.9175,0.8925,0.9825,0.015,0.01,140.98112900557987,0,800
gemma4_12b_grpo_next02_g8_var_bestg8_20260618,50,0.8684697136282921,1.0,0.9125,0.8975,0.9725,0.0175,0.0075,140.09542582576003,0,800
gemma4_12b_grpo_next03_g8_b003_t075_bestg8_20260618,50,0.8658048559725284,1.0,0.915,0.89,0.98,0.0175,0.015,138.30874952403983,0,800
gemma4_12b_grpo_next09_g4_ctrl_bestg8_20260618,50,0.8582328936457634,1.0,0.9,0.885,0.96,0.03,0.02,120.46529910225999,0,400
gemma4_12b_grpo_next05_g8_nokl_bestg8_20260618,50,0.8565877701342106,1.0,0.9025,0.87,0.975,0.0225,0.01,139.45906379109994,0,800
gemma4_12b_grpo_next07_g8_cap1280_bestg8_20260618,50,0.8561744002252817,0.8500000238418579,0.895,0.8775,0.975,0.0175,0.0175,137.39630913376,0,640
gemma4_12b_grpo_next13_compact_b002_bestg8_20260618,30,0.8512278215338787,0.8830000162124634,0.9,0.8833333333333333,0.975,0.05,0.016666666666666666,150.44575461316643,0,
gemma4_12b_grpo_next08_g8_top097_bestg8_20260618,50,0.8286307993531227,0.9967227578163147,0.875,0.8525,0.9575,0.0225,0.01,145.51229716557998,0,640
